ProductK;ProductAlternateKey;ProductSubcategory_Key;WeightUnitMeasureCode;SizeUnitMeasureCode;StandardCost;FinishedGoodsFlag;Color;SafetyStockLevel;ReorderPoint;ListPrice;Size;SizeRange;Weight;DaysToManufacture;ProductLine;DealerPrice;Class;Style;ModelName;LargePhoto;ProductName;Rating
541;TI-T723;37;;;10,84;True;Blue;500;375;28,99;;NA;;0;T;17,39;;;Touring Tire;Binary Data;Touring Tire;3
553;HB-T721;4;;;20,46;True;Blue;500;375;46,09;;NA;;1;T;27,65;L;;LL Touring Handlebars;Binary Data;LL Touring Handlebars;0
554;HB-T928;4;;;40,66;True;Blue;500;375;91,57;;NA;;1;T;54,94;H;;HL Touring Handlebars;Binary Data;HL Touring Handlebars;0
223;CA-1098;19;;;5,71;True;Multi;4;3;8,64;;NA;;0;S;5,19;;U;Cycling Cap;Binary Data;AWC Logo Cap;5
224;CA-1098;19;;;5,23;True;Multi;4;3;8,64;;NA;;0;S;5,19;;U;Cycling Cap;Binary Data;AWC Logo Cap;5
225;CA-1098;19;;;6,92;True;Multi;4;3;8,99;;NA;;0;S;5,39;;U;Cycling Cap;Binary Data;AWC Logo Cap;5
226;LJ-0192-S;21;;;31,72;True;Multi;4;3;48,07;S;S;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, S;2
227;LJ-0192-S;21;;;29,08;True;Multi;4;3;48,07;S;S;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, S;2
228;LJ-0192-S;21;;;38,49;True;Multi;4;3;49,99;S;S;;0;S;29,99;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, S;2
229;LJ-0192-M;21;;;31,72;True;Multi;4;3;48,07;M;M;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, M;2
230;LJ-0192-M;21;;;29,08;True;Multi;4;3;48,07;M;M;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, M;2
231;LJ-0192-M;21;;;38,49;True;Multi;4;3;49,99;M;M;;0;S;29,99;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, M;2
232;LJ-0192-L;21;;;31,72;True;Multi;4;3;48,07;L;L;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, L;2
233;LJ-0192-L;21;;;29,08;True;Multi;4;3;48,07;L;L;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, L;2
234;LJ-0192-L;21;;;38,49;True;Multi;4;3;49,99;L;L;;0;S;29,99;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, L;2
235;LJ-0192-X;21;;;31,72;True;Multi;4;3;48,07;XL;XL;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, XL;2
236;LJ-0192-X;21;;;29,08;True;Multi;4;3;48,07;XL;XL;;0;S;28,84;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, XL;2
237;LJ-0192-X;21;;;38,49;True;Multi;4;3;49,99;XL;XL;;0;S;29,99;;U;Long-Sleeve Logo Jersey;Binary Data;Long-Sleeve Logo Jersey, XL;2
445;SH-M897-S;22;;;24,75;True;Black;4;3;59,99;S;S;;0;S;35,99;;M;Men's Sports Shorts;Binary Data;Men's Sports Shorts, S;0
453;SH-M897-M;22;;;24,75;True;Black;4;3;59,99;M;M;;0;S;35,99;;M;Men's Sports Shorts;Binary Data;Men's Sports Shorts, M;0
454;SH-M897-L;22;;;24,75;True;Black;4;3;59,99;L;L;;0;S;35,99;;M;Men's Sports Shorts;Binary Data;Men's Sports Shorts, L;0
455;SH-M897-X;22;;;24,75;True;Black;4;3;59,99;XL;XL;;0;S;35,99;;M;Men's Sports Shorts;Binary Data;Men's Sports Shorts, XL;0
474;SH-W890-S;22;;;26,18;True;Black;4;3;69,99;S;S;;0;M;41,99;;W;Women's Mountain Shorts;Binary Data;Women's Mountain Shorts, S;2
475;SH-W890-M;22;;;26,18;True;Black;4;3;69,99;M;M;;0;M;41,99;;W;Women's Mountain Shorts;Binary Data;Women's Mountain Shorts, M;2
476;SH-W890-L;22;;;26,18;True;Black;4;3;69,99;L;L;;0;M;41,99;;W;Women's Mountain Shorts;Binary Data;Women's Mountain Shorts, L;2
488;SJ-0194-S;21;;;41,57;True;Yellow;4;3;53,99;S;S;;0;S;32,39;;U;Short-Sleeve Classic Jersey;Binary Data;Short-Sleeve Classic Jersey, S;2
489;SJ-0194-M;21;;;41,57;True;Yellow;4;3;53,99;M;M;;0;S;32,39;;U;Short-Sleeve Classic Jersey;Binary Data;Short-Sleeve Classic Jersey, M;2
490;SJ-0194-L;21;;;41,57;True;Yellow;4;3;53,99;L;L;;0;S;32,39;;U;Short-Sleeve Classic Jersey;Binary Data;Short-Sleeve Classic Jersey, L;2
491;SJ-0194-X;21;;;41,57;True;Yellow;4;3;53,99;XL;XL;;0;S;32,39;;U;Short-Sleeve Classic Jersey;Binary Data;Short-Sleeve Classic Jersey, XL;2
218;SO-B909-M;23;;;3,4;True;White;4;3;9,5;M;M;;0;M;5,7;;U;Mountain Bike Socks;Binary Data;Mountain Bike Socks, M;0
219;SO-B909-L;23;;;3,4;True;White;4;3;9,5;L;L;;0;M;5,7;;U;Mountain Bike Socks;Binary Data;Mountain Bike Socks, L;0
456;TG-W091-S;24;;;30,93;True;Black;4;3;74,99;S;S;;0;S;44,99;;W;Women's Tights;Binary Data;Women's Tights, S;0
457;TG-W091-M;24;;;30,93;True;Black;4;3;74,99;M;M;;0;S;44,99;;W;Women's Tights;Binary Data;Women's Tights, M;0
458;TG-W091-L;24;;;30,93;True;Black;4;3;74,99;L;L;;0;S;44,99;;W;Women's Tights;Binary Data;Women's Tights, L;0
459;SB-M891-S;18;;;37,12;True;Multi;4;3;89,99;S;S;;0;S;53,99;;M;Men's Bib-Shorts;Binary Data;Men's Bib-Shorts, S;0
460;SB-M891-M;18;;;37,12;True;Multi;4;3;89,99;M;M;;0;S;53,99;;M;Men's Bib-Shorts;Binary Data;Men's Bib-Shorts, M;0
461;SB-M891-L;18;;;37,12;True;Multi;4;3;89,99;L;L;;0;S;53,99;;M;Men's Bib-Shorts;Binary Data;Men's Bib-Shorts, L;0
462;GL-H102-S;20;;;9,71;True;Black;4;3;23,55;S;S;;0;S;14,13;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, S;2
463;GL-H102-S;20;;;9,16;True;Black;4;3;24,49;S;S;;0;S;14,69;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, S;2
464;GL-H102-M;20;;;9,71;True;Black;4;3;23,55;M;M;;0;S;14,13;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, M;2
465;GL-H102-M;20;;;9,16;True;Black;4;3;24,49;M;M;;0;S;14,69;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, M;2
466;GL-H102-L;20;;;9,71;True;Black;4;3;23,55;L;L;;0;S;14,13;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, L;2
467;GL-H102-L;20;;;9,16;True;Black;4;3;24,49;L;L;;0;S;14,69;;U;Half-Finger Gloves;Binary Data;Half-Finger Gloves, L;2
468;GL-F110-S;20;;;15,67;True;Black;4;3;37,99;S;S;;0;M;22,79;;U;Full-Finger Gloves;Binary Data;Full-Finger Gloves, S;0
469;GL-F110-M;20;;;15,67;True;Black;4;3;37,99;M;M;;0;M;22,79;;U;Full-Finger Gloves;Binary Data;Full-Finger Gloves, M;0
470;GL-F110-L;20;;;15,67;True;Black;4;3;37,99;L;L;;0;M;22,79;;U;Full-Finger Gloves;Binary Data;Full-Finger Gloves, L;0
471;VE-C304-S;25;;;23,75;True;Blue;4;3;63,5;S;S;;0;S;38,1;;U;Classic Vest;Binary Data;Classic Vest, S;1
472;VE-C304-M;25;;;23,75;True;Blue;4;3;63,5;M;M;;0;S;38,1;;U;Classic Vest;Binary Data;Classic Vest, M;1
473;VE-C304-L;25;;;23,75;True;Blue;4;3;63,5;L;L;;0;S;38,1;;U;Classic Vest;Binary Data;Classic Vest, L;1
481;SO-R809-M;23;;;3,36;True;White;4;3;8,99;M;M;;0;R;5,39;;U;Racing Socks;Binary Data;Racing Socks, M;2
482;SO-R809-L;23;;;3,36;True;White;4;3;8,99;L;L;;0;R;5,39;;U;Racing Socks;Binary Data;Racing Socks, L;2
487;HY-1023-70;32;;;20,57;True;Silver;4;3;54,99;70;70;;0;S;32,99;;;Hydration Pack;Binary Data;Hydration Pack - 70 oz.;3
344;BK-M82S-38;1;LB;CM;1912,15;True;Silver;100;75;3399,99;38;38-40 CM;20,35;4;M;2039,99;H;U;Mountain-100;Binary Data;Mountain-100 Silver, 38;1
350;BK-M82B-44;1;LB;CM;1898,09;True;Black;100;75;3579,99;44;42-46 CM;21,13;4;M;2024,99;H;U;Mountain-100;Binary Data;Mountain-100 Black, 44;1
351;BK-M82B-48;1;LB;CM;1898,09;True;Black;100;75;3674,99;48;48-52 CM;21,42;4;M;2024,99;H;U;Mountain-100;Binary Data;Mountain-100 Black, 48;1
352;BK-M68S-38;1;LB;CM;1117,86;True;Silver;100;75;2071,42;38;38-40 CM;23,35;4;M;1242,85;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 38;3
353;BK-M68S-38;1;LB;CM;1265,62;True;Silver;100;75;2319,99;38;38-40 CM;23,35;4;M;1391,99;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 38;3
354;BK-M68S-42;1;LB;CM;1117,86;True;Silver;100;75;2071,42;42;42-46 CM;23,77;4;M;1242,85;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 42;3
355;BK-M68S-42;1;LB;CM;1265,62;True;Silver;100;75;2319,99;42;42-46 CM;23,77;4;M;1391,99;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 42;3
356;BK-M68S-46;1;LB;CM;1117,86;True;Silver;100;75;2071,42;46;42-46 CM;24,13;4;M;1242,85;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 46;3
357;BK-M68S-46;1;LB;CM;1265,62;True;Silver;100;75;2319,99;46;42-46 CM;24,13;4;M;1391,99;H;U;Mountain-200;Binary Data;Mountain-200 Silver, 46;3
358;BK-M68B-38;1;LB;CM;1105,81;True;Black;100;75;2049,1;38;38-40 CM;23,35;4;M;1229,46;H;U;Mountain-200;Binary Data;Mountain-200 Black, 38;3
359;BK-M68B-38;1;LB;CM;1251,98;True;Black;100;75;2294,99;38;38-40 CM;23,35;4;M;1376,99;H;U;Mountain-200;Binary Data;Mountain-200 Black, 38;3
360;BK-M68B-42;1;LB;CM;1105,81;True;Black;100;75;2049,1;42;42-46 CM;23,77;4;M;1229,46;H;U;Mountain-200;Binary Data;Mountain-200 Black, 42;3
361;BK-M68B-42;1;LB;CM;1251,98;True;Black;100;75;2294,99;42;42-46 CM;23,77;4;M;1376,99;H;U;Mountain-200;Binary Data;Mountain-200 Black, 42;3
362;BK-M68B-46;1;LB;CM;1105,81;True;Black;100;75;2049,1;46;42-46 CM;24,13;4;M;1229,46;H;U;Mountain-200;Binary Data;Mountain-200 Black, 46;3
363;BK-M68B-46;1;LB;CM;1251,98;True;Black;100;75;2294,99;46;42-46 CM;24,13;4;M;1376,99;H;U;Mountain-200;Binary Data;Mountain-200 Black, 46;3
560;BK-T44U-60;3;LB;CM;755,15;True;Blue;100;75;1214,85;60;60-62 CM;27,9;4;T;728,91;M;U;Touring-2000;Binary Data;Touring-2000 Blue, 60;1
561;BK-T79Y-46;3;LB;CM;1481,94;True;Yellow;100;75;2384,07;46;42-46 CM;25,13;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Yellow, 46;1
562;BK-T79Y-50;3;LB;CM;1481,94;True;Yellow;100;75;2384,07;50;48-52 CM;25,42;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Yellow, 50;1
563;BK-T79Y-54;3;LB;CM;1481,94;True;Yellow;100;75;2384,07;54;54-58 CM;25,68;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Yellow, 54;1
564;BK-T79Y-60;3;LB;CM;1481,94;True;Yellow;100;75;2384,07;60;60-62 CM;25,9;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Yellow, 60;1
565;BK-T18U-54;3;LB;CM;461,44;True;Blue;100;75;742,35;54;54-58 CM;29,68;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Blue, 54;1
566;BK-T18U-58;3;LB;CM;461,44;True;Blue;100;75;742,35;58;54-58 CM;29,9;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Blue, 58;1
567;BK-T18U-62;3;LB;CM;461,44;True;Blue;100;75;742,35;62;60-62 CM;30;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Blue, 62;1
568;BK-T18Y-44;3;LB;CM;461,44;True;Yellow;100;75;742,35;44;42-46 CM;28,77;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Yellow, 44;1
569;BK-T18Y-50;3;LB;CM;461,44;True;Yellow;100;75;742,35;50;48-52 CM;29,13;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Yellow, 50;1
573;BK-T79U-46;3;LB;CM;1481,94;True;Blue;100;75;2384,07;46;42-46 CM;25,13;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Blue, 46;1
574;BK-T79U-50;3;LB;CM;1481,94;True;Blue;100;75;2384,07;50;48-52 CM;25,42;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Blue, 50;1
575;BK-T79U-54;3;LB;CM;1481,94;True;Blue;100;75;2384,07;54;54-58 CM;25,68;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Blue, 54;1
576;BK-T79U-60;3;LB;CM;1481,94;True;Blue;100;75;2384,07;60;60-62 CM;25,9;4;T;1430,44;H;U;Touring-1000;Binary Data;Touring-1000 Blue, 60;1
577;BK-T44U-46;3;LB;CM;755,15;True;Blue;100;75;1214,85;46;42-46 CM;27,13;4;T;728,91;M;U;Touring-2000;Binary Data;Touring-2000 Blue, 46;1
578;BK-T44U-50;3;LB;CM;755,15;True;Blue;100;75;1214,85;50;48-52 CM;27,42;4;T;728,91;M;U;Touring-2000;Binary Data;Touring-2000 Blue, 50;1
579;BK-T44U-54;3;LB;CM;755,15;True;Blue;100;75;1214,85;54;54-58 CM;27,68;4;T;728,91;M;U;Touring-2000;Binary Data;Touring-2000 Blue, 54;1
585;BK-T18U-44;3;LB;CM;461,44;True;Blue;100;75;742,35;44;42-46 CM;28,77;4;T;445,41;L;U;Touring-3000;Binary Data;Touring-3000 Blue, 44;1
587;BK-M38S-38;1;LB;CM;419,78;True;Silver;100;75;769,49;38;38-40 CM;26,35;4;M;461,69;M;W;Mountain-400-W;Binary Data;Mountain-400-W Silver, 38;1
588;BK-M38S-40;1;LB;CM;419,78;True;Silver;100;75;769,49;40;38-40 CM;26,77;4;M;461,69;M;W;Mountain-400-W;Binary Data;Mountain-400-W Silver, 40;1
589;BK-M38S-42;1;LB;CM;419,78;True;Silver;100;75;769,49;42;42-46 CM;27,13;4;M;461,69;M;W;Mountain-400-W;Binary Data;Mountain-400-W Silver, 42;1
590;BK-M38S-46;1;LB;CM;419,78;True;Silver;100;75;769,49;46;42-46 CM;27,42;4;M;461,69;M;W;Mountain-400-W;Binary Data;Mountain-400-W Silver, 46;1
310;BK-R93R-62;2;LB;CM;2171,29;True;Red;100;75;3598,27;62;60-62 CM;15;4;R;2146,96;H;U;Road-150;Binary Data;Road-150 Red, 62;2
311;BK-R93R-44;2;LB;CM;2171,29;True;Red;100;75;3578,27;44;42-46 CM;13,77;4;R;2146,96;H;U;Road-150;Binary Data;Road-150 Red, 44;2
312;BK-R93R-48;2;LB;CM;2171,29;True;Red;100;75;3578,27;48;48-52 CM;14,13;4;R;2146,96;H;U;Road-150;Binary Data;Road-150 Red, 48;2
313;BK-R93R-52;2;LB;CM;2171,29;True;Red;100;75;3578,27;52;48-52 CM;14,42;4;R;2146,96;H;U;Road-150;Binary Data;Road-150 Red, 52;2
314;BK-R93R-56;2;LB;CM;2171,29;True;Red;100;75;3578,27;56;54-58 CM;14,68;4;R;2146,96;H;U;Road-150;Binary Data;Road-150 Red, 56;2
320;BK-R50R-58;2;LB;CM;413,15;True;Red;100;75;699,1;58;54-58 CM;19,79;4;R;419,46;L;U;Road-650;Binary Data;Road-650 Red, 58;1
321;BK-R50R-58;2;LB;CM;486,71;True;Red;100;75;782,99;58;54-58 CM;19,79;4;R;469,79;L;U;Road-650;Binary Data;Road-650 Red, 58;1
322;BK-R50R-60;2;LB;CM;413,15;True;Red;100;75;699,1;60;60-62 CM;19,9;4;R;419,46;L;U;Road-650;Binary Data;Road-650 Red, 60;1
323;BK-R50R-60;2;LB;CM;486,71;True;Red;100;75;782,99;60;60-62 CM;19,9;4;R;469,79;L;U;Road-650;Binary Data;Road-650 Red, 60;1
